Date.harvested,Plot.ID,Species,Plant.replicate,Plot.plant.rep,Waitzia.density.bin,Density.for.x,Waitzia.starting.density,Treatment,Treatment.col,Height.plant,Biomass.plant,Notes,Seed.mass.total,Total.flowercount.plant,Seedpred
19/12/2013,WA10,W.acuminata,W.1,WA10.W.1,high,2,19,mixture,152,225,2.2044,"RED, SEEDS",0.0108,67,1
19/12/2013,WA10,W.acuminata,W.10,WA10.W.10,high,2,19,mixture,152,218,0.6495,,,22,1
19/12/2013,WA10,W.acuminata,W.11,WA10.W.11,high,2,19,mixture,152,242,1.647,,,40,0
19/12/2013,WA10,W.acuminata,W.12,WA10.W.12,high,2,19,mixture,152,193,0.313,,,15,1
19/12/2013,WA10,W.acuminata,W.13,WA10.W.13,high,2,19,mixture,152,150,0.0714,,,6,0
19/12/2013,WA10,W.acuminata,W.13B,WA10.W.13B,high,2,19,mixture,152,205,0.5775,,,19,0
19/12/2013,WA10,W.acuminata,W.14,WA10.W.14,high,2,19,mixture,152,206,0.4732,,,15,0
19/12/2013,WA10,W.acuminata,W.15,WA10.W.15,high,2,19,mixture,152,170,0.1714,,,11,0
19/12/2013,WA10,W.acuminata,W.2,WA10.W.2,high,2,19,mixture,152,227,0.8535,ORANGE,0.038,32,0
7/12/2013,WA10,W.acuminata,W.3B,WA10.W.3B,high,2,19,mixture,152,155,0.1159,ENTIRE,,8,0
19/12/2013,WA10,W.acuminata,W.3,WA10.W.3,high,2,19,mixture,152,247,0.9829,GREEN,0.0091,35,0
19/12/2013,WA10,W.acuminata,W.4,WA10.W.4,high,2,19,mixture,152,205,2.075,PURPLE,0.0375,79,1
19/12/2013,WA10,W.acuminata,W.5,WA10.W.5,high,2,19,mixture,152,237,0.836,,,27,1
14/12/2013,WA10,W.acuminata,W.6,WA10.W.6,high,2,19,mixture,152,260,0.6016,,,19,1
19/12/2013,WA10,W.acuminata,W.7,WA10.W.7,high,2,19,mixture,152,167,0.273,,,12,0
19/12/2013,WA10,W.acuminata,W.8,WA10.W.8,high,2,19,mixture,152,297,0.9084,,,22,0
19/12/2013,WA10,W.acuminata,W.9,WA10.W.9,high,2,19,mixture,152,213,0.4867,,,18,0
3/11/2013,WA10,A.cupaniana,A.1,WA10.A.1,high,2,19,NA,NA,200,0.0193,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.10,WA10.A.10,high,2,19,NA,NA,55,0.0011,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.11,WA10.A.11,high,2,19,NA,NA,80,0.0033,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.12,WA10.A.12,high,2,19,NA,NA,45,0.001,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.13,WA10.A.13,high,2,19,NA,NA,45,0.0004,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.14,WA10.A.14,high,2,19,NA,NA,70,0.0016,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.15,WA10.A.15,high,2,19,NA,NA,70,0.0015,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.2,WA10.A.2,high,2,19,NA,NA,64,0.001,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.3,WA10.A.3,high,2,19,NA,NA,70,0.0009,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.4,WA10.A.4,high,2,19,NA,NA,100,0.014,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.5,WA10.A.5,high,2,19,NA,NA,44,0.0009,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.6,WA10.A.6,high,2,19,NA,NA,125,0.0053,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.7,WA10.A.7,high,2,19,NA,NA,140,0.0059,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.8,WA10.A.8,high,2,19,NA,NA,110,0.0032,,NA,NA,NA
3/11/2013,WA10,A.cupaniana,A.9,WA10.A.9,high,2,19,NA,NA,105,0.0054,,NA,NA,NA
