yrsq,litter.cover,edge
2011.perenjori.2.8,82,0
2011.perenjori.2.9,1,0
2011.perenjori.2.10,1,0
2011.perenjori.2.11,0,0
2011.perenjori.2.12,2,0
2011.perenjori.2.13,50,0
2011.perenjori.2.14,19,0
2011.perenjori.2.15,33,0
2011.perenjori.3.1,0,0
2011.perenjori.3.2,3,0
2011.perenjori.3.3,2,0
2011.perenjori.3.4,0,0
2011.perenjori.3.5,0,0
2011.perenjori.3.6,5,0
2011.perenjori.3.7,0,0
2011.perenjori.3.8,2,0
2011.perenjori.3.9,9,0
2011.perenjori.3.10,15,0
2011.perenjori.3.11,38,0
2011.perenjori.3.12,15,0
2011.perenjori.3.13,14,0
2011.perenjori.3.14,0,0
2011.perenjori.3.15,6,0
2011.quair.1.1,90,0
2011.quair.1.2,90,0
2011.quair.1.3,56,0
2011.quair.1.4,13,0
2011.quair.1.5,62,0
2011.quair.1.6,99,0
2011.quair.1.7,99,0
2011.quair.1.8,100,0
2011.quair.1.9,93,0
2011.quair.1.10,54,0
2011.quair.1.11,99,0
2011.quair.1.12,50,0
2011.quair.1.13,82,0
2011.quair.1.14,83,0
2011.quair.1.15,14,0
2011.quair.2.1,25,0
2011.quair.2.2,85,0
2011.quair.2.3,5,0
2011.quair.2.4,28,0
2011.quair.2.5,72,0
2011.quair.2.6,48,0
2011.quair.2.7,15,0
2011.quair.2.8,9,0
2011.quair.2.9,78,0
2011.quair.2.10,85,0
2011.quair.2.11,63,0
2011.quair.2.12,65,0
2011.quair.2.13,14,0
2011.quair.2.14,100,0
2011.quair.2.15,100,0
2011.quair.3.1,98,0
2011.quair.3.2,32,0
2011.quair.3.3,91,0
2011.quair.3.4,60,0
2011.quair.3.5,90,0
2011.quair.3.6,27,0
2011.quair.3.7,93,0
2011.quair.3.8,83,0
2011.quair.3.9,75,0
2011.quair.3.10,70,0
2011.quair.3.11,85,0
2011.quair.3.12,68,0
2011.quair.3.13,81,0
2011.quair.3.14,77,0
2011.quair.3.15,8,0
2011.solomon.1.1,2,0
2011.solomon.1.2,84,0
2011.solomon.1.3,14,0
2011.solomon.1.4,1,0
2011.solomon.1.5,70,0
2011.solomon.1.6,5,0
2011.solomon.1.7,19,0
2011.solomon.1.8,5,0
2011.solomon.1.9,1,0
2011.solomon.1.10,3,0
2011.solomon.1.11,2,0
2011.solomon.1.12,13,0
2011.solomon.1.13,0,0
2011.solomon.1.14,37,0
2011.solomon.1.15,5,0
2011.solomon.2.1,0,0
2011.solomon.2.2,2,0
2011.solomon.2.3,0,0
2011.solomon.2.4,0,0
2011.solomon.2.5,0,0
2011.solomon.2.6,0,0
2011.solomon.2.7,0,0
2011.solomon.2.8,0,0
2011.solomon.2.9,0,0
2011.solomon.2.10,0,0
2011.solomon.2.11,0,0
2011.solomon.2.12,1,0
2011.solomon.2.13,0,0
2011.solomon.2.14,2,0
2011.solomon.2.15,0,0
2011.solomon.3.1,14,0
2011.solomon.3.2,11,0
2011.solomon.3.3,6,0
2011.solomon.3.4,35,0
2011.solomon.3.5,5,0
2011.solomon.3.6,53,0
2011.solomon.3.7,15,0
2011.solomon.3.8,28,0
2011.solomon.3.9,8,0
2011.solomon.3.10,9,0
2011.solomon.3.11,8,0
2011.solomon.3.12,45,0
2011.solomon.3.13,5,0
2011.solomon.3.14,3,0
2011.solomon.3.15,7,0
2011.stokes.1.1,4,0
2011.stokes.1.2,3,0
2011.stokes.1.3,48,0
2011.stokes.1.4,7,0
2011.stokes.1.5,58,0
2011.stokes.1.6,25,0
2011.stokes.1.7,7,0
2011.stokes.1.8,10,0
2011.stokes.1.9,55,0
2011.stokes.1.10,8,0
2011.stokes.1.11,15,0
2011.stokes.1.12,35,0
2011.stokes.1.13,28,0
2011.stokes.1.14,14,0
2011.stokes.1.15,43,0
2011.stokes.2.1,0,0
2011.stokes.2.2,0,0
2011.stokes.2.3,0,0
2011.stokes.2.4,15,0
2011.stokes.2.5,98,0
2011.stokes.2.6,7,0
2011.stokes.2.7,2,0
2011.stokes.2.8,80,0
2011.stokes.2.9,45,0
2011.stokes.2.10,95,0
2011.stokes.2.11,7,0
2011.stokes.2.12,54,0
2011.stokes.2.13,5,0
2011.stokes.2.14,34,0
2011.stokes.2.15,3,0
2011.stokes.3.1,12,0
2011.stokes.3.2,10,0
2011.stokes.3.3,4,0
2011.stokes.3.4,5,0
2011.stokes.3.5,5,0
2011.stokes.3.6,12,0
2011.stokes.3.7,0,0
2011.stokes.3.8,50,0
2011.stokes.3.9,3,0
2011.stokes.3.10,0,0
2011.stokes.3.11,3,0
