"","Mean_lat_id","individual_id","Mean_lat_mm","date_collected","notes"
"220",220,"SHAD1_220",60,2015,NA
"221",221,"SHAD1_221",97.5,2015,NA
"222",222,"SHAD1_222",6.5,2015,NA
"223",223,"SHAD1_223",26.5,2015,NA
"224",224,"SHAD1_224",70,2015,NA
"225",225,"SHAD1_225",85,2015,NA
"226",226,"SHAD1_226",37.5,2015,NA
"227",227,"SHAD1_227",3.5,2015,NA
"228",228,"SHAD1_228",85,2015,NA
"229",229,"SHAD1_229",72.5,2015,NA
"230",230,"SHAD1_230",65,2015,NA
"231",231,"SHAD1_231",17.5,2015,NA
"232",232,"SHAD1_232",32.5,2015,NA
"233",233,"SHAD1_233",180,2015,NA
"234",234,"SHAD1_234",22.5,2015,NA
"235",235,"SHAD1_235",137.5,2015,NA
"236",236,"SHAD1_236",62.5,2015,NA
"237",237,"SHAD1_237",117.5,2015,NA
"238",238,"SHAD1_238",172.5,2015,NA
"239",239,"SHAD1_239",37.5,2015,NA
"240",240,"SHAD1_240",165,2015,NA
"241",241,"SHAD1_241",85,2015,NA
"242",242,"SHAD1_242",NA,2015,NA
"243",243,"SHAD1_243",6.5,2015,NA
"244",244,"SHAD1_244",17.5,2015,NA
"245",245,"SHAD1_245",35,2015,NA
"246",246,"SHAD1_246",40,2015,NA
"247",247,"SHAD1_247",72.5,2015,NA
"248",248,"SHAD1_248",90,2015,NA
"249",249,"SHAD1_249",12.5,2015,NA
"250",250,"SHAD1_250",5,2015,NA
"251",251,"SHAD1_251",20,2015,NA
"252",252,"SHAD1_252",40,2015,NA
"253",253,"SHAD1_253",10,2015,NA
"254",254,"SHAD1_254",32.5,2015,NA
"255",255,"SHAD1_255",27.5,2015,NA
"256",256,"SHAD1_256",97.5,2015,NA
"257",257,"SHAD1_257",102.5,2015,NA
"258",258,"SHAD1_258",5,2015,NA
"259",259,"SHAD1_259",145,2015,NA
"260",260,"SHAD1_260",70,2015,NA
"261",261,"SHAD1_261",105,2015,NA
"262",262,"SHAD1_262",35,2015,NA
"263",263,"SHAD1_263",40,2015,NA
"264",264,"SHAD1_264",70,2015,NA
"265",265,"SHAD1_265",132.5,2015,NA
"266",266,"SHAD1_266",25,2015,NA
"267",267,"SHAD1_267",30,2015,NA
"268",268,"SHAD1_268",90,2015,NA
"269",269,"SHAD1_269",125,2015,NA
"270",270,"SHAD1_270",15,2015,NA
"271",271,"SHAD1_271",145,2015,NA
"272",272,"SHAD1_272",170,2015,NA
"273",273,"SHAD1_273",50,2015,NA
"274",274,"SHAD1_274",40,2015,NA
"275",275,"SHAD1_275",92.5,2015,NA
"276",276,"SHAD1_276",60,2015,NA
"277",277,"SHAD1_277",80,2015,NA
"278",278,"SHAD1_278",27.5,2015,NA
"279",279,"SHAD1_279",15,2015,NA
"280",280,"SHAD1_280",65,2015,NA
"281",281,"SHAD1_281",45,2015,NA
"282",282,"SHAD1_282",90,2015,NA
"283",283,"SHAD1_283",16,2015,NA
"284",284,"SHAD1_284",20,2015,NA
"285",285,"SHAD1_285",85,2015,NA
"286",286,"SHAD1_286",35,2015,NA
"287",287,"SHAD1_287",115,2015,NA
"288",288,"SHAD1_288",2.5,2015,NA
"289",289,"SHAD1_289",92.5,2015,NA
"290",290,"SHAD1_290",22.5,2015,NA
"291",291,"SHAD1_291",42.5,2015,NA
"292",292,"SHAD1_292",90,2015,NA
"293",293,"SHAD1_293",4,2015,NA
"294",294,"SHAD1_294",37.5,2015,NA
"295",295,"SHAD1_295",102.5,2015,NA
"296",296,"SHAD1_296",102.5,2015,NA
"297",297,"SHAD1_297",30,2015,NA
"298",298,"SHAD1_298",30,2015,NA
"299",299,"SHAD1_299",105,2015,NA
"300",300,"SHAD1_300",20,2015,NA
"301",301,"SHAD1_301",40,2015,NA
"302",302,"SHAD1_302",37.5,2015,NA
"303",303,"SHAD1_303",42.5,2015,NA
"304",304,"SHAD1_304",9,2015,NA
"305",305,"SHAD1_305",60,2015,NA
"306",306,"SHAD1_306",7.5,2015,NA
"307",307,"SHAD1_307",14,2015,NA
"308",308,"SHAD1_308",155,2015,NA
"309",309,"SHAD1_309",40,2015,NA
"310",310,"SHAD1_310",8.5,2015,NA
"311",311,"SHAD1_311",7.5,2015,NA
"312",312,"SHAD1_312",42.5,2015,NA
"313",313,"SHAD1_313",70,2015,NA
"314",314,"SHAD1_314",35,2015,NA
"315",315,"SHAD1_315",20,2015,NA
"316",316,"SHAD1_316",77.5,2015,NA
"317",317,"SHAD1_317",21.5,2015,NA
"318",318,"SHAD1_318",15,2015,NA
"319",319,"SHAD1_319",57.5,2015,NA
"320",320,"SHAD1_320",60,2015,NA
"321",321,"SHAD1_321",12.5,2015,NA
"322",322,"SHAD1_322",19,2015,NA
"323",323,"SHAD1_323",70,2015,NA
"324",324,"SHAD1_324",22.5,2015,NA
"325",325,"SHAD1_325",22.5,2015,NA
"326",326,"SHAD1_326",18.5,2015,NA
"327",327,"SHAD1_327",55,2015,NA
"328",328,"SHAD1_328",64,2015,NA
"329",329,"SHAD1_329",3.5,2015,NA
"330",330,"SHAD1_330",18.5,2015,NA
"331",331,"SHAD1_331",50,2015,NA
"332",332,"SHAD1_332",40,2015,NA
"333",333,"SHAD1_333",75,2015,NA
"334",334,"SHAD1_334",11.5,2015,NA
"335",335,"SHAD1_335",70,2015,NA
"336",336,"SHAD1_336",10,2015,NA
"337",337,"SHAD1_337",115,2015,NA
"338",338,"SHAD1_338",27.5,2015,NA
"339",339,"SHAD1_339",150,2015,NA
"340",340,"SHAD1_340",30,2015,NA
"341",341,"SHAD1_341",95,2015,NA
"342",342,"SHAD1_342",70,2015,NA
"343",343,"SHAD1_343",105,2015,NA
"344",344,"SHAD1_344",137.5,2015,NA
"345",345,"SHAD1_345",42.5,2015,NA
"346",346,"SHAD1_346",50,2015,NA
"347",347,"SHAD1_347",17.5,2015,NA
"348",348,"SHAD1_348",65,2015,NA
"349",349,"SHAD1_349",150,2015,NA
"350",350,"SHAD1_350",75,2015,NA
"351",351,"SHAD1_351",24,2015,NA
"352",352,"SHAD1_352",29,2015,NA
"353",353,"SHAD1_353",40,2015,NA
"354",354,"SHAD1_354",240,2015,NA
"355",355,"SHAD1_355",5,2015,NA
"356",356,"SHAD1_356",37.5,2015,NA
"357",357,"SHAD1_357",190,2015,NA
"358",358,"SHAD1_358",26.5,2015,NA
"359",359,"SHAD1_359",3,2015,NA
"360",360,"SHAD1_360",25,2015,NA
"361",361,"SHAD1_361",65,2015,NA
"362",362,"SHAD1_362",22.5,2015,NA
"363",363,"SHAD1_363",14,2015,NA
"364",364,"SHAD1_364",80,2015,NA
"365",365,"SHAD1_365",10,2015,NA
"366",366,"SHAD1_366",23.5,2015,NA
"367",367,"SHAD1_367",205,2015,NA
"368",368,"SHAD1_368",60,2015,NA
"369",369,"SHAD1_369",90,2015,NA
"370",370,"SHAD1_370",167.5,2015,NA
"371",371,"SHAD1_371",130,2015,NA
"372",372,"SHAD1_372",155,2015,NA
"373",373,"SHAD1_373",62.5,2015,NA
"374",374,"SHAD1_374",34,2015,NA
"375",375,"SHAD1_375",100,2015,NA
"376",376,"SHAD1_376",110,2015,NA
"377",377,"SHAD1_377",26.5,2015,NA
"378",378,"SHAD1_378",145,2015,NA
"379",379,"SHAD1_379",30,2015,NA
"380",380,"SHAD1_380",15,2015,NA
"381",381,"SHAD1_381",135,2015,NA
"382",382,"SHAD1_382",37.5,2015,NA
"383",383,"SHAD1_383",82.5,2015,NA
"384",384,"SHAD1_384",105,2015,NA
"385",385,"SHAD1_385",32.5,2015,NA
"386",386,"SHAD1_386",190,2015,NA
"387",387,"SHAD1_387",125,2015,NA
"388",388,"SHAD1_388",10,2015,NA
