"","individual_id","plot_id","species"
"207","SHAD1_207","10D","A.calendula"
"208","SHAD1_208","10D","H.glabra"
"209","SHAD1_209","10D","P.canescens"
"210","SHAD1_210","10E","A.calendula"
"211","SHAD1_211","10E","P.canescens"
"212","SHAD1_212","10E","T.cyanopetala"
"213","SHAD1_213","10F","H.glabra"
"214","SHAD1_214","10F","P.canescens"
"215","SHAD1_215","10F","T.cyanopetala"
"216","SHAD1_216","10F","V.rosea"
"217","SHAD1_217","10G","H.glabra"
"218","SHAD1_218","10G","M.minima"
"219","SHAD1_219","10G","T.cyanopetala"
"220","SHAD1_220","10G","V.rosea"
"221","SHAD1_221","10H","A.calendula"
"222","SHAD1_222","10H","H.glutinosum"
"223","SHAD1_223","10H","P.airoides"
"224","SHAD1_224","10I","H.glabra"
"225","SHAD1_225","10I","M.minima"
"226","SHAD1_226","10I","P.airoides"
"227","SHAD1_227","10J","H.glutinosum"
"228","SHAD1_228","10K","A.calendula"
"229","SHAD1_229","10K","M.minima"
"230","SHAD1_230","10L","P.canescens"
"231","SHAD1_231","12A","H.glutinosum"
"232","SHAD1_232","12A","P.airoides"
"233","SHAD1_233","12A","P.canescens"
"234","SHAD1_234","12A","T.cyanopetala"
"235","SHAD1_235","12B","H.glabra"
"236","SHAD1_236","12B","P.canescens"
"237","SHAD1_237","12B","V.rosea"
"238","SHAD1_238","12C","A.calendula"
"239","SHAD1_239","12C","P.airoides"
"240","SHAD1_240","12C","P.canescens"
"241","SHAD1_241","12C","V.rosea"
"242","SHAD1_242","12D","A.calendula"
"243","SHAD1_243","12D","H.glutinosum"
"244","SHAD1_244","12D","P.airoides"
"245","SHAD1_245","12D","V.rosea"
"246","SHAD1_246","12E","H.glutinosum"
"247","SHAD1_247","12E","M.minima"
"248","SHAD1_248","12E","P.canescens"
"249","SHAD1_249","12F","H.glutinosum"
"250","SHAD1_250","12F","M.minima"
"251","SHAD1_251","12F","P.airoides"
"252","SHAD1_252","12F","P.canescens"
"253","SHAD1_253","12G","H.glutinosum"
"254","SHAD1_254","12G","P.canescens"
"255","SHAD1_255","12G","T.cyanopetala"
"256","SHAD1_256","12G","V.rosea"
"257","SHAD1_257","12H","H.glabra"
"258","SHAD1_258","12H","H.glutinosum"
"259","SHAD1_259","12H","V.rosea"
"260","SHAD1_260","12I","A.calendula"
"261","SHAD1_261","12I","M.minima"
"262","SHAD1_262","12I","P.airoides"
"263","SHAD1_263","12J","H.glabra"
"264","SHAD1_264","12J","M.minima"
"265","SHAD1_265","12K","A.calendula"
"266","SHAD1_266","12K","M.minima"
"267","SHAD1_267","12K","T.cyanopetala"
"268","SHAD1_268","12K","V.rosea"
