"","Near_log_id","plot_id","Log_near","date_collected","notes"
"1",1,"10A",0,2015,NA
"2",2,"10A",0,2015,NA
"3",3,"10A",0,2015,NA
"4",4,"10A",0,2015,NA
"5",5,"10A",0,2015,NA
"6",6,"10A",0,2015,NA
"7",7,"10B",1,2015,NA
"8",8,"10B",1,2015,NA
"9",9,"10B",1,2015,NA
"10",10,"10B",1,2015,NA
"11",11,"10B",1,2015,NA
"12",12,"10B",1,2015,NA
"13",13,"10B",1,2015,NA
"14",14,"10B",1,2015,NA
"15",15,"10C",0,2015,NA
"16",16,"10C",0,2015,NA
"17",17,"10C",0,2015,NA
"18",18,"10C",0,2015,NA
"19",19,"10C",0,2015,NA
"20",20,"10C",0,2015,NA
"21",21,"10C",0,2015,NA
"22",22,"10C",0,2015,NA
"23",23,"10D",0,2015,NA
"24",24,"10D",0,2015,NA
"25",25,"10D",0,2015,NA
"26",26,"10D",0,2015,NA
"27",27,"10D",0,2015,NA
"28",28,"10D",0,2015,NA
"29",29,"10E",1,2015,NA
"30",30,"10E",1,2015,NA
"31",31,"10E",1,2015,NA
"32",32,"10E",1,2015,NA
"33",33,"10E",1,2015,NA
"34",34,"10E",1,2015,NA
"35",35,"10F",1,2015,NA
"36",36,"10F",1,2015,NA
"37",37,"10F",1,2015,NA
"38",38,"10F",1,2015,NA
"39",39,"10F",1,2015,NA
"40",40,"10F",1,2015,NA
"41",41,"10F",1,2015,NA
"42",42,"10F",1,2015,NA
"43",43,"10G",0,2015,NA
"44",44,"10G",0,2015,NA
"45",45,"10G",0,2015,NA
"46",46,"10G",0,2015,NA
"47",47,"10G",0,2015,NA
"48",48,"10G",0,2015,NA
"49",49,"10G",0,2015,NA
"50",50,"10H",0,2015,NA
"51",51,"10H",0,2015,NA
"52",52,"10H",0,2015,NA
"53",53,"10H",0,2015,NA
"54",54,"10H",0,2015,NA
"55",55,"10H",0,2015,NA
"56",56,"10I",0,2015,NA
"57",57,"10I",0,2015,NA
"58",58,"10I",0,2015,NA
"59",59,"10I",0,2015,NA
"60",60,"10I",0,2015,NA
"61",61,"10I",0,2015,NA
"62",62,"10J",0,2015,NA
"63",63,"10J",0,2015,NA
"64",64,"10K",0,2015,NA
"65",65,"10K",0,2015,NA
"66",66,"10K",0,2015,NA
"67",67,"10K",0,2015,NA
"68",68,"10L",0,2015,NA
"69",69,"10L",0,2015,NA
"70",70,"12A",1,2015,NA
"71",71,"12A",1,2015,NA
"72",72,"12A",1,2015,NA
"73",73,"12A",1,2015,NA
"74",74,"12A",1,2015,NA
"75",75,"12A",1,2015,NA
"76",76,"12A",1,2015,NA
"77",77,"12A",1,2015,NA
"78",78,"12B",0,2015,NA
"79",79,"12B",0,2015,NA
"80",80,"12B",0,2015,NA
"81",81,"12B",0,2015,NA
"82",82,"12B",0,2015,NA
"83",83,"12B",0,2015,NA
"84",84,"12C",0,2015,NA
"85",85,"12C",0,2015,NA
"86",86,"12C",0,2015,NA
"87",87,"12C",0,2015,NA
"88",88,"12C",0,2015,NA
"89",89,"12C",0,2015,NA
"90",90,"12C",0,2015,NA
"91",91,"12C",0,2015,NA
"92",92,"12D",0,2015,NA
"93",93,"12D",0,2015,NA
"94",94,"12D",0,2015,NA
"95",95,"12D",0,2015,NA
"96",96,"12D",0,2015,NA
"97",97,"12D",0,2015,NA
"98",98,"12D",0,2015,NA
"99",99,"12D",0,2015,NA
"100",100,"12E",0,2015,NA
"101",101,"12E",0,2015,NA
"102",102,"12E",0,2015,NA
"103",103,"12E",0,2015,NA
"104",104,"12E",0,2015,NA
"105",105,"12F",1,2015,NA
"106",106,"12F",1,2015,NA
"107",107,"12F",1,2015,NA
"108",108,"12F",1,2015,NA
"109",109,"12F",1,2015,NA
"110",110,"12F",1,2015,NA
"111",111,"12F",1,2015,NA
"112",112,"12F",1,2015,NA
"113",113,"12G",0,2015,NA
"114",114,"12G",0,2015,NA
"115",115,"12G",0,2015,NA
"116",116,"12G",0,2015,NA
"117",117,"12G",0,2015,NA
"118",118,"12G",0,2015,NA
"119",119,"12G",0,2015,NA
"120",120,"12G",0,2015,NA
"121",121,"12H",0,2015,NA
"122",122,"12H",0,2015,NA
"123",123,"12H",0,2015,NA
"124",124,"12H",0,2015,NA
"125",125,"12H",0,2015,NA
"126",126,"12H",0,2015,NA
"127",127,"12I",1,2015,NA
"128",128,"12I",1,2015,NA
"129",129,"12I",1,2015,NA
