"","height_id","individual_id","height_mm","date_collected","notes"
"57",57,"SHAD1_57",50,2015,NA
"58",58,"SHAD1_58",290,2015,NA
"59",59,"SHAD1_59",80,2015,NA
"60",60,"SHAD1_60",180,2015,NA
"61",61,"SHAD1_61",25,2015,NA
"62",62,"SHAD1_62",35,2015,NA
"63",63,"SHAD1_63",40,2015,NA
"64",64,"SHAD1_64",40,2015,NA
"65",65,"SHAD1_65",35,2015,NA
"66",66,"SHAD1_66",200,2015,NA
"67",67,"SHAD1_67",80,2015,NA
"68",68,"SHAD1_68",60,2015,NA
"69",69,"SHAD1_69",80,2015,NA
"70",70,"SHAD1_70",130,2015,NA
"71",71,"SHAD1_71",130,2015,NA
"72",72,"SHAD1_72",80,2015,NA
"73",73,"SHAD1_73",25,2015,NA
"74",74,"SHAD1_74",40,2015,NA
"75",75,"SHAD1_75",25,2015,NA
"76",76,"SHAD1_76",20,2015,NA
"77",77,"SHAD1_77",50,2015,NA
"78",78,"SHAD1_78",80,2015,NA
"79",79,"SHAD1_79",60,2015,NA
"80",80,"SHAD1_80",60,2015,NA
"81",81,"SHAD1_81",50,2015,NA
"82",82,"SHAD1_82",120,2015,NA
"83",83,"SHAD1_83",10,2015,NA
"84",84,"SHAD1_84",50,2015,NA
"85",85,"SHAD1_85",40,2015,NA
"86",86,"SHAD1_86",40,2015,NA
"87",87,"SHAD1_87",35,2015,NA
"88",88,"SHAD1_88",240,2015,NA
"89",89,"SHAD1_89",55,2015,NA
"90",90,"SHAD1_90",100,2015,NA
"91",91,"SHAD1_91",80,2015,NA
"92",92,"SHAD1_92",320,2015,NA
"93",93,"SHAD1_93",65,2015,NA
"94",94,"SHAD1_94",75,2015,NA
"95",95,"SHAD1_95",230,2015,NA
"96",96,"SHAD1_96",110,2015,NA
"97",97,"SHAD1_97",30,2015,NA
"98",98,"SHAD1_98",100,2015,NA
"99",99,"SHAD1_99",90,2015,NA
"100",100,"SHAD1_100",30,2015,NA
"101",101,"SHAD1_101",250,2015,NA
"102",102,"SHAD1_102",170,2015,NA
"103",103,"SHAD1_103",35,2015,NA
"104",104,"SHAD1_104",70,2015,NA
"105",105,"SHAD1_105",220,2015,NA
"106",106,"SHAD1_106",50,2015,NA
"107",107,"SHAD1_107",20,2015,NA
"108",108,"SHAD1_108",80,2015,NA
"109",109,"SHAD1_109",60,2015,NA
"110",110,"SHAD1_110",100,2015,NA
"111",111,"SHAD1_111",190,2015,NA
"112",112,"SHAD1_112",60,2015,NA
"113",113,"SHAD1_113",75,2015,NA
"114",114,"SHAD1_114",320,2015,NA
"115",115,"SHAD1_115",110,2015,NA
"116",116,"SHAD1_116",100,2015,NA
"117",117,"SHAD1_117",90,2015,NA
"118",118,"SHAD1_118",60,2015,NA
"119",119,"SHAD1_119",40,2015,NA
"120",120,"SHAD1_120",35,2015,NA
"121",121,"SHAD1_121",120,2015,NA
"122",122,"SHAD1_122",55,2015,NA
"123",123,"SHAD1_123",50,2015,NA
"124",124,"SHAD1_124",90,2015,NA
"125",125,"SHAD1_125",270,2015,NA
"126",126,"SHAD1_126",70,2015,NA
