"site","plot","treatment","species","index","colour","seed.count","flower.collect","flower.head","flower.herbivory","flower.total","flower.mult","standard.seed","total.seed","total.seed.int"
"Bendering","B.Hygl.M1","M","Hypochaeris.glabra",1,"R",23,1,3,1,4,4,23,92,92
"Bendering","B.Hygl.M1","M","Hypochaeris.glabra",1,"G",28,1,7,0,7,7,28,196,196
"Bendering","B.Hygl.M1","M","Hypochaeris.glabra",1,"B",52,1,11,0,11,11,52,572,572
"Bendering","B.Hygl.M2","M","Hypochaeris.glabra",2,"R",36,1,11,0,11,11,36,396,396
"Bendering","B.Hygl.M2","M","Hypochaeris.glabra",2,"G",53,1,10,1,11,11,53,583,583
"Bendering","B.Hygl.M2","M","Hypochaeris.glabra",2,"B",11,1,7,0,7,7,11,77,77
"Bendering","B.Hygl.M3","M","Hypochaeris.glabra",3,"R",NA,NA,8,0,8,8,NA,NA,NA
"Bendering","B.Hygl.M3","M","Hypochaeris.glabra",3,"G",33,1,7,0,7,7,33,231,231
"Bendering","B.Hygl.M3","M","Hypochaeris.glabra",3,"B",53,1,10,0,10,10,53,530,530
"Bendering","B.Hygl.M4","M","Hypochaeris.glabra",4,"R",46,1,4,1,5,5,46,230,230
"Bendering","B.Hygl.M4","M","Hypochaeris.glabra",4,"G",40,1,6,0,6,6,40,240,240
"Bendering","B.Hygl.M4","M","Hypochaeris.glabra",4,"B",26,1,7,0,7,7,26,182,182
"Bendering","B.Hygl.M5","M","Hypochaeris.glabra",5,"R",34,1,10,1,11,11,34,374,374
"Bendering","B.Hygl.M5","M","Hypochaeris.glabra",5,"G",28,1,14,0,14,14,28,392,392
"Bendering","B.Hygl.M5","M","Hypochaeris.glabra",5,"B",12,1,4,0,4,4,12,48,48
"Bendering","B.Hygl.N1","N","Hypochaeris.glabra",1,"R",10,1,2,0,2,2,10,20,20
"Bendering","B.Hygl.N1","N","Hypochaeris.glabra",1,"G",7,1,2,0,2,2,7,14,14
"Bendering","B.Hygl.N1","N","Hypochaeris.glabra",1,"B",35,1,2,0,2,2,35,70,70
"Bendering","B.Hygl.N2","N","Hypochaeris.glabra",2,"R",33,1,2,0,2,2,33,66,66
"Bendering","B.Hygl.N2","N","Hypochaeris.glabra",2,"G",41,1,5,1,6,6,41,246,246
"Bendering","B.Hygl.N2","N","Hypochaeris.glabra",2,"B",63,1,2,0,2,2,63,126,126
"Bendering","B.Hygl.N3","N","Hypochaeris.glabra",3,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N3","N","Hypochaeris.glabra",3,"G",39,1,5,0,5,5,39,195,195
"Bendering","B.Hygl.N3","N","Hypochaeris.glabra",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N4","N","Hypochaeris.glabra",4,"R",36,1,11,4,15,15,36,540,540
"Bendering","B.Hygl.N4","N","Hypochaeris.glabra",4,"G",40,1,9,1,10,10,40,400,400
"Bendering","B.Hygl.N4","N","Hypochaeris.glabra",4,"B",4,1,6,2,8,8,4,32,32
"Bendering","B.Hygl.N5","N","Hypochaeris.glabra",5,"R",9,1,5,0,5,5,9,45,45
"Bendering","B.Hygl.N5","N","Hypochaeris.glabra",5,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bendering","B.Hygl.N5","N","Hypochaeris.glabra",5,"B",42,1,2,0,2,2,42,84,84
