Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Plant.no,Exotic,Date,Seed.mass.available,Value.mg,Annual.perrennial 
13,N,1,13.N.1.L,Litter,A.uliginosum,6,3,0,27-Aug-13,1,0.047131865,Annual
13,N,1,13.N.1.L,Litter,A.uliginosum,6,4,0,27-Aug-13,1,0.047131865,Annual
13,N,1,13.N.1.L,Litter,A.uliginosum,6,5,0,27-Aug-13,1,0.047131865,Annual
13,N,1,13.N.1.L,Litter,A.uliginosum,6,6,0,27-Aug-13,1,0.047131865,Annual
13,N,2,13.N.2.L,Litter,A.uliginosum,2,1,0,27-Aug-13,1,0.047131865,Annual
13,N,2,13.N.2.L,Litter,A.uliginosum,2,2,0,27-Aug-13,1,0.047131865,Annual
13,N,3,13.N.3.L,Litter,A.uliginosum,1,1,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,1,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,2,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,3,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,4,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,5,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,6,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,7,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,8,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.C,Control,A.uliginosum,9,9,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.L,Litter,A.uliginosum,3,1,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.L,Litter,A.uliginosum,3,2,0,27-Aug-13,1,0.047131865,Annual
13,S,1,13.S.1.L,Litter,A.uliginosum,3,3,0,27-Aug-13,1,0.047131865,Annual
13,S,2,13.S.2.L,Litter,A.uliginosum,4,1,0,27-Aug-13,1,0.047131865,Annual
13,S,2,13.S.2.L,Litter,A.uliginosum,4,2,0,27-Aug-13,1,0.047131865,Annual
13,S,2,13.S.2.L,Litter,A.uliginosum,4,3,0,27-Aug-13,1,0.047131865,Annual
13,S,2,13.S.2.L,Litter,A.uliginosum,4,4,0,27-Aug-13,1,0.047131865,Annual
13,S,3,13.S.3.L,Litter,A.uliginosum,2,1,0,27-Aug-13,1,0.047131865,Annual
13,S,3,13.S.3.L,Litter,A.uliginosum,2,2,0,27-Aug-13,1,0.047131865,Annual
14,N,2,14.N.2.C,Control,A.uliginosum,2,1,0,27-Aug-13,1,0.047131865,Annual
14,N,2,14.N.2.C,Control,A.uliginosum,2,2,0,27-Aug-13,1,0.047131865,Annual
14,N,2,14.N.2.L,Litter,A.uliginosum,1,1,0,27-Aug-13,1,0.047131865,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,1,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,2,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,3,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,4,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,5,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,6,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,7,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.C,Control,B.drummondii,8,8,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,1,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,2,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,3,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,4,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,5,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,6,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,7,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,8,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,9,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,10,0,27-Aug-13,1,0.623351111,Annual
13,N,2,13.N.2.L,Litter,B.drummondii,11,11,0,27-Aug-13,1,0.623351111,Annual
11,N,1,11.N.1.L,Litter,B.iberidifola,1,1,0,27-Aug-13,1,0.074322222,Annual
11,N,3,11.N.3.C,Control,B.iberidifola,1,1,0,27-Aug-13,1,0.074322222,Annual
11,S,1,11.S.1.L,Litter,B.iberidifola,1,1,0,27-Aug-13,1,0.074322222,Annual
13,N,1,13.N.1.C,Control,B.iberidifola,2,1,0,27-Aug-13,1,0.074322222,Annual
13,N,1,13.N.1.C,Control,B.iberidifola,2,2,0,27-Aug-13,1,0.074322222,Annual
13,N,1,13.N.1.L,Litter,B.iberidifola,1,1,0,27-Aug-13,1,0.074322222,Annual
13,N,2,13.N.2.C,Control,B.iberidifola,7,1,0,27-Aug-13,1,0.074322222,Annual
