Date,ID,SP,ind,buds,flowers,fruits,max.height.mm,shape.long,shape.90,phen,group,num.focal,lateral,shape,notes
7.27.2016,H060D100,ARCA,2,0,0,0,15,10,4,2,A.PE.P.V,4,7,0.4666666667,.
7.27.2016,H060D100,ARCA,3,0,0,0,33,34,17,2,A.PE.P.V,4,25.5,0.7727272727,.
7.27.2016,H060D100,ARCA,4,0,0,0,28,22,3,2,A.PE.P.V,4,12.5,0.4464285714,.
7.27.2016,H060D100,ARCA,5,1,0,0,56,90,68,4,A.PE.P.V,4,79,1.4107142857,.
7.27.2016,H060D100,ARCA,6,5,1,0,38,118,60,6,A.PE.P.V,4,89,2.3421052632,.
7.27.2016,H060D100,ARCA,7,1,0,0,57,65,1,4,A.PE.P.V,4,33,0.5789473684,.
7.27.2016,H060D100,ARCA,8,1,0,0,76,137,102,4,A.PE.P.V,4,119.5,1.5723684211,.
7.27.2016,H060D100,ARCA,9,1,0,0,45,94,37,4,A.PE.P.V,4,65.5,1.4555555556,.
7.27.2016,H060D100,ARCA,10,1,0,0,57,89,32,4,A.PE.P.V,4,60.5,1.0614035088,.
7.27.2016,H060D100,PEAI,1,0,0,0,21,19,1,2,A.PE.P.V,4,10,0.4761904762,.
7.27.2016,H060D100,PEAI,2,0,0,0,20,15,10,2,A.PE.P.V,4,12.5,0.625,.
7.27.2016,H060D100,PEAI,3,0,0,0,33,28,9,2,A.PE.P.V,4,18.5,0.5606060606,.
7.27.2016,H060D100,PEAI,4,0,0,0,18,26,3,2,A.PE.P.V,4,14.5,0.8055555556,.
7.27.2016,H060D100,PEAI,5,0,0,0,25,19,1,2,A.PE.P.V,4,10,0.4,.
7.27.2016,H060D100,PEAI,6,0,0,0,27,13,10,2,A.PE.P.V,4,11.5,0.4259259259,.
7.27.2016,H060D100,PEAI,7,0,0,0,53,25,1,2,A.PE.P.V,4,13,0.2452830189,.
7.27.2016,H060D100,PEAI,8,0,0,0,36,21,3,2,A.PE.P.V,4,12,0.3333333333,.
7.27.2016,H060D100,PEAI,9,0,0,0,17,18,9,2,A.PE.P.V,4,13.5,0.7941176471,.
7.27.2016,H060D100,PEAI,10,0,0,0,40,40,23,2,A.PE.P.V,4,31.5,0.7875,.
7.27.2016,H060D100,POCA,1,0,0,0,35,30,25,2,A.PE.P.V,4,27.5,0.7857142857,.
7.27.2016,H060D100,POCA,2,0,0,0,59,53,18,2,A.PE.P.V,4,35.5,0.6016949153,.
7.27.2016,H060D100,POCA,3,0,0,0,37,29,1,2,A.PE.P.V,4,15,0.4054054054,.
7.27.2016,H060D100,POCA,4,0,0,0,20,13,10,2,A.PE.P.V,4,11.5,0.575,.
7.27.2016,H060D100,POCA,5,0,0,0,44,27,8,2,A.PE.P.V,4,17.5,0.3977272727,.
7.27.2016,H060D100,POCA,6,0,0,0,65,55,40,2,A.PE.P.V,4,47.5,0.7307692308,.
7.27.2016,H060D100,POCA,7,0,0,0,63,42,28,2,A.PE.P.V,4,35,0.5555555556,.
7.27.2016,H060D100,POCA,8,0,0,0,66,47,39,2,A.PE.P.V,4,43,0.6515151515,.
7.27.2016,H060D100,POCA,9,0,0,0,48,62,45,2,A.PE.P.V,4,53.5,1.1145833333,.
7.27.2016,H060D100,POCA,10,0,0,0,44,37,13,2,A.PE.P.V,4,25,0.5681818182,.
7.27.2016,H060D100,VERO,1,0,0,0,22,45,30,2,A.PE.P.V,4,37.5,1.7045454545,.
7.27.2016,H060D100,VERO,2,1,0,0,14,13,9,4,A.PE.P.V,4,11,0.7857142857,.
7.27.2016,H060D100,VERO,3,24,0,0,9,14,7,2,A.PE.P.V,4,10.5,1.1666666667,.
8.2.2016,H061D100,ARCA,1,8,0,0,71,119,104,4,A.PE,2,111.5,1.5704225352,.
8.2.2016,H061D100,ARCA,2,2,0,0,84,64,12,4,A.PE,2,38,0.4523809524,.
8.2.2016,H061D100,ARCA,3,4,0,0,70,74,36,4,A.PE,2,55,0.7857142857,.
8.2.2016,H061D100,ARCA,4,3,0,0,86,82,36,4,A.PE,2,59,0.6860465116,.
8.2.2016,H061D100,ARCA,5,5,0,0,99,123,82,4,A.PE,2,102.5,1.0353535354,.
8.2.2016,H061D100,ARCA,6,2,0,0,76,72,38,4,A.PE,2,55,0.7236842105,.
8.2.2016,H061D100,ARCA,7,.,0,0,90,94,46,.,A.PE,2,70,0.7777777778,.
